"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.59355094,12.43284088,12.13960112,14.36646056,14.4509231,12.22888713,12.51140337,12.70042435,11.72988756,11.57235066,11.66128877,12.21544355,11.92183732,12.50662941,11.83609791,13.84099908,16.40057143,17.01007723,15.47910006,13.97150706,12.09845066,19.30406077,25.49094249,28.01068407,31.56805885,33.37142051,31.90852939,27.88208097,15.14189852,14.04331564,14.92284495,14.19514363,13.92595154,7.672804216,6.509563631,6.905496819,6.673043788,7.025526083,8.379494409,9.598397661,4.198368652,4.484221152,2.594988244,3.280826996,2.665970401,2.199517493,1.994224101,2.142803788,3.179372255,4.826075031,5.860383855,7.045971296,7.34194908,8.784736133,11.02502941,15.21514485,17.71407756,15.48492627,12.8300367,12.50996185,15.40623638,15.2255837,14.32401213,14.42473884
Costa Rica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.07635098,28.31387538,27.48467493,32.19844768,36.46715889,44.16682419,47.44589092,45.22453843,43.95871247,45.88103511,48.36589432,55.62717214,60.5179713,54.74409646,50.59203461,54.96348906,54.77526872,58.26158946,61.10755376,62.11927814,65.01420436,65.53059792,66.44911283,62.36098378,66.89652423,62.42210773,58.70375545,no data
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.93669757,34.34702825,38.76927698,47.58752776,49.94118523,56.96606235,56.87202605,70.89165049,79.41904021,82.49470645,86.66310033,91.60730568,100.7455319,110.172123,119.1798669,131.4654088,140.9582714,139.6198967,139.2299429,138.6164167,137.6697186,134.7516095,128.5371587,124.8138639,122.8594884,117.700409,129.5594091,115.9685641,107.2780987,102.4317397
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.11568144,90.64845525,85.58858115,90.45105113,99.04278504,86.17142578,94.50858236,88.98323609,106.2856997,110.2597529,113.4568539,108.069013,118.3701537,131.2709204,157.6309224,193.1942355,174.26245,178.0970668,175.4235895,169.0130699,159.2102113,156.407361,155.0114002,155.0125576,148.5960754,154.0336313,158.8083746,159.3823009,233.5121878,244.4530446,258.1119915,284.4427826,287.1598136,307.0283313,312.8398346,317.6445307,314.7490444,315.3113991,310.0839965,303.777385,304.9608306,274.244322,277.3328506,258.2715723,222.5258904,249.5213293,252.7821701,267.8664428,291.000384,306.3120469,313.6811383,324.4862298,327.4337917,341.6628327,352.4532684,347.3397645,328.7792486,305.46415,283.6153761,266.8414036,268.5249494,243.2733195,214.2872057,no data
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.61848167,69.77611104,77.17024247,66.59561426,65.50803979,62.13824059,56.06333308,57.81755508,52.25047212,60.08033887,60.09831991,64.53618799,69.81064808,76.85747219,80.94600336,83.69759096,86.10689007,89.2516151,91.83718495,90.10641622,85.89687156,87.98890444,88.73563002,91.74835111,86.09522096,89.67343717,85.933075,81.46947387,no data
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.661605284,10.29276041,8.615531889,10.37633411,12.80517571,10.99701038,10.7142555,11.38952579,12.25093392,13.54945417,13.71749057,15.76358053,17.97845848,20.25234914,23.26400139,22.94834993,24.09333318,27.84634714,27.82120507,29.30904807,28.55439672,29.47798405,28.9627481,29.8893031,25.80218892,24.07788438,23.51449825,26.50982657,26.49154451,24.66747661,25.42653199,25.03340204,22.12928195,19.75349891,12.61870603,12.77087502,11.5063756,11.79396652,11.2162782,10.00893866,10.47183056,10.21957031,10.09942447,8.988711599,9.609397321,8.904241086,10.33249969,12.29576774,11.86050197,12.44249209,13.14682863,13.48900669,13.31507281,14.07352249,14.58273269,16.62312393,17.54807072,19.19466044,19.20387073,18.99926451,20.50986067,20.93010011,20.97970092,22.12860748
Denmark,no data,85.40413663,82.95337509,81.06973075,81.19690603,81.65834511,80.30568248,79.22609277,82.54844861,84.05128122,88.1562478,89.13937942,89.6077431,94.94090494,96.80699353,99.81872011,104.9700856,107.7005307,110.0356435,113.4641986,115.5378573,114.8030875,117.2820961,124.3783527,128.623713,130.4577407,125.7078478,124.9830646,123.3512715,122.6292667,122.744027,120.7197741,113.0202039,113.3005515,116.6154104,126.9028514,144.2317606,153.5692049,155.1128306,154.725684,155.6096449,152.3920298,145.6926186,147.154978,138.0976614,138.8131086,141.1928654,145.6729009,145.0965139,153.1802285,160.2264132,169.7834329,169.233783,177.0635482,188.1730758,207.5145952,224.2251261,237.3487216,243.5314615,259.5047788,249.6698652,256.4607483,257.9627542,246.1022569,247.6288491,246.0579862,243.4495301,234.842612,236.1774373,248.13063,237.3847132,227.4948481,217.2925307,217.169951
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,34.52059914,37.53009015,37.59020091,36.21670289,34.70532162,35.17150422,32.02650092,30.40920524,29.08528667,27.55283999,27.19544967,30.40762276,31.48228122,30.65474592,32.79040456,20.36905451,22.63528459,18.65714678,17.21998791,15.93630648,15.02611042,14.28741193,14.36617793,16.03691369,17.59789164,21.59393656,24.20856581,22.00850008,20.59568561,22.14647438,22.13711251,21.7028461,19.73992094,21.17275426,21.63323739,22.35148331,20.88124652,18.63515078,18.96636047,21.21189933
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,28.11954425,27.004688,20.87730205,22.21435629,24.74420709,25.32397699,27.29081149,27.92186973,29.68212736,27.59122854,27.59368214,23.60898708,22.82477851,27.86335624,34.30747878,38.82100756,39.50868334,41.77339197,43.68114318,43.77637153,46.49601233,45.42519364,47.22647477,47.09556481,46.86288898,50.43349038,47.85544928,48.1688522,45.37732157,45.4548022,48.58622168,50.41486211,49.12048257,48.95646196,48.91652083,53.10260776,55.61499738,59.1161341,57.62100491,53.67474167,51.30624182,46.94585492,51.00952286,47.17053436,40.40838204,53.24354699,50.06003122,47.04989233,42.11272072
Dominican Republic,3.797025384,4.224146257,4.250667764,5.183656548,5.647294842,8.021434518,6.442662283,8.078272564,9.3200314,8.960840399,4.694880068,3.893720668,5.754779023,5.352375677,6.124004049,6.589124295,6.133404513,6.370803489,9.138615634,10.82605953,10.00284673,17.31366086,17.39379628,18.95466119,22.09185488,21.62920706,23.40111886,23.17480227,24.79423868,25.38271482,24.94189978,23.60207743,26.66919133,26.48027012,23.35691328,21.57254084,25.86857599,26.32257428,23.04823166,25.83830077,22.51115163,17.08476547,18.88284178,19.28394912,19.71192662,19.86137472,22.06496857,23.28343205,24.50534669,28.14438604,31.19313636,33.74173476,37.30372447,36.83727606,23.47874479,20.37822538,22.09498279,18.18434028,24.03928662,25.8305146,27.0054444,27.47599784,27.90496003,28.43192157,29.43060301,30.66113344,31.81266797,31.86015317,32.0207444,31.983905,34.23849846,31.79758247,30.60703173,no data
Ecuador,15.87795253,15.02694811,15.35635453,18.03424359,19.33238783,20.56688004,22.03117792,22.83713948,24.12077966,24.83681099,24.84236138,20.56254809,19.75850734,19.01265422,19.43454555,18.38478926,17.23925171,18.15525862,19.50683988,19.23690431,13.7232801,14.27275851,13.97874789,13.26914767,12.92925245,14.68960103,15.25165004,15.29394502,15.6483092,15.29134983,12.80911649,15.56836157,15.55106082,18.09151548,18.55323653,14.30229552,16.14627088,14.97865989,10.21723156,9.711552722,10.73893851,10.82107484,11.38785436,15.87936653,21.31732089,22.750514,23.57970344,26.00711425,23.53384802,24.56822022,28.15414187,27.97391213,22.2485207,20.13735005,22.13057817,23.7173908,23.78638903,25.84158968,25.17656013,25.31069834,27.19839759,27.20762711,27.10692364,27.87454207,29.15714848,36.44521149,40.40861918,41.39004645,43.04433322,46.60084601,53.25064691,52.87705035,54.85232395,no data
Egypt,12.12961561,11.84770221,12.07672211,11.50097285,14.03115498,13.57900819,14.16508713,14.38203848,15.60726069,16.8413887,16.10620803,16.07880113,16.03229033,16.58203675,16.28145527,14.18153407,11.47753545,10.59624422,11.87823229,12.03710319,10.92986581,11.05467656,10.62849141,9.969888935,12.24115579,14.64465776,16.12143113,17.64559858,17.24128432,18.05022671,13.08995407,23.31815659,25.77989344,26.1355632,28.00603978,29.4146032,33.74971579,27.24051731,26.5222778,25.07606253,23.98887489,21.03859611,20.99517565,22.13630739,26.30580462,30.85938025,34.06286152,37.71596069,42.87042193,47.96855046,48.05039048,50.47509913,51.06564155,50.80875525,51.32915699,47.38367167,45.78980853,43.67314836,42.32954346,35.1084631,30.52445388,29.34471054,25.05067509,24.57734311,24.15980643,24.66430234,31.29309453,26.27934656,24.99439188,22.31949794,25.64118169,28.1377579,31.68437932,no data
El Salvador,8.511566119,8.226842621,8.581131592,8.423264111,10.02686829,12.37649666,14.38710051,15.94840836,15.81211823,17.58169302,19.18360614,17.12110401,15.19310319,15.7986752,16.90619831,16.8972034,17.14994524,16.34697482,15.71601047,16.84338869,17.13793303,18.1776598,19.07790863,21.55564717,20.43752005,17.10373539,18.39938529,18.92068665,20.48872253,20.32461429,20.57593961,24.646499,28.46883776,32.906521,48.5483027,64.49328716,39.64497462,42.42296993,41.24207638,39.31454802,15.94572235,17.04849876,18.99808292,21.18235703,30.89641748,35.18814871,40.08978784,46.92485624,46.45459174,49.2289223,51.38220921,46.83572107,49.64829932,49.31864958,49.83651569,53.31650381,53.43160984,56.658074,54.09797771,49.09453758,46.96198102,42.37758786,45.29698773,48.38040717,49.95972372,51.20321058,53.56974397,56.47268952,57.64740529,57.57196005,64.33982606,58.12209344,57.56738643,no data
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.5407022,25.74880669,25.58363403,34.68101594,22.89319713,22.38750184,23.06989834,24.41025242,26.38369315,25.83638798,26.85442489,26.60079841,20.08917754,24.90309779,18.87652299,15.5077334,12.45009077,12.08257409,15.75158914,12.65350474,no data,no data,no data,no data,no data,no data,no data,no data,no data
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.53333015,26.2184884,30.52241298,34.23211865,39.98673902,52.54744687,66.02763683,68.73994341,72.84599742,80.9838745,89.90767752,96.92924173,105.6285522,110.5615929,130.5784612,136.6322121,148.2085465,159.7942521,148.5669319,133.4872356,129.3905292,126.9207299,127.9798765,125.3523154,123.125911,117.5960187,114.6865071,114.8001039,122.1199862,113.9120093,110.0895445,no data
Ethiopia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.520555296,0.445417613,0.432228082,2.663729895,2.991652742,2.906142501,3.404694912,3.387514077,3.760965432,4.08672691,4.821669104,4.943669963,5.204976678,5.248198754,5.462390001,4.674276715,4.321751014,4.627620171,5.59806603,2.863244667,1.889220857,2.35215726,2.341627406,2.106948369,2.082731225,1.839978326,1.7788997,2.288648343,1.650359302,1.584351512,1.567583117,1.425240989,2.052519227,3.458778372,4.796632853,7.475390669,11.54215513,13.83539229,15.62062522,18.7561265,17.63215106,17.77718214,17.97806301,17.49634603,16.51012394,18.84924809,20.44352802,18.52339677,17.64985635,13.06031598,14.42020469,16.65678008,15.4840087,16.65197709,17.41358219,17.85906675,17.81161622,18.3385189,20.19690659,21.11835045,21.25379929,19.59369152,18.73167436,15.76553302
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,90.8968938,82.68918593,84.57201113,84.68000445,81.43229262,82.93489038,84.20567548,89.58766076,89.65489727,87.9497764,87.53340063,89.43665669,93.57474726,94.59928855,95.34748963,99.36861971,102.3382212,108.5873271,115.0076869,116.0318402,128.850974,141.746344,163.6095582,145.5565939,136.9238576,118.5568895,115.3691519,116.6489112,108.6995873,112.3644474,121.7940258,117.4009252,119.528429,125.4017428,128.9421133,133.9554006,140.0078676,144.816876,156.1376143,165.226291,167.1698193,168.517872,172.104223,176.9402006,183.4412572,190.4710931,180.9736831,188.1240376,187.1076518,184.7030413,192.6146531,190.6469586,188.6650584,180.7650373
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.91860204,95.19019244,99.19058703,105.4543978,106.7502177,105.8944879,106.7147392,104.5973274,104.6305625,101.7511384,100.3766376,101.1606648,100.8866478,102.2501472,104.6876482,106.3289312,106.2710867,103.1841992,107.2393813,112.6756528,117.8018858,124.8687948,129.1642386,133.4706248,137.8221933,132.9891897,131.3561849,130.2405664,130.1192011,128.4458055,133.807381,138.3771616,143.6947044,144.0320465,143.481375,145.7376535,149.5147692,153.6343303,157.3339574,164.3171357,172.2057091,172.3823003,178.3400359,182.9516249,181.0503633,186.6386873,192.2944106,199.5218698,201.4368492,207.324094,213.7591496,240.4701166,228.0976611,222.130762,212.0956401
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.346525726,8.051344077,7.163583092,7.667222287,7.761587134,7.117280562,7.470566309,6.59536639,4.612764227,6.413306461,6.144964744,4.448624154,5.86859075,6.356879367,8.792555581,8.067013857,9.444483939,9.141777518,8.218845313,9.468503262,10.67333012,11.32310893,7.388964127,5.165984049,5.315470671,4.964800819,4.675286217,4.526106445,3.054954724,4.52080219,4.625185206,3.945823658,3.677808407,4.241213968,4.558437144,5.009289628,5.05147923,5.552742543,6.793878431,6.689011291,4.932414142,5.74681387,7.108884361,7.427841144,8.593173592,9.048434442,9.382823759,10.25152679,9.866167429,9.777416796,8.575090523,no data,no data,5.4431293,6.448327947,7.656809961,7.584932474,8.362685318,9.065509668,8.462140156
Georgia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.14072487,6.238562106,4.489743759,5.907343755,7.955622884,8.599428215,8.336486542,9.112261776,11.29124179,10.22825215,16.97738272,22.69551281,31.45773252,37.3241903,34.6898329,33.98021538,44.83888204,40.00450276,44.26035943,60.88110649,52.96897782,60.28778038,59.85523616,63.55693645,69.71704944,84.21556743,78.295502,65.78223081,no data
Germany,33.37977081,35.19138023,40.11271756,46.78509362,53.94675275,57.50230955,59.32544146,60.35723921,63.05771044,68.45635332,67.64482352,71.55028923,74.55133517,78.8094193,80.44107725,82.33518473,83.84898723,88.16026197,91.47669776,94.27648937,92.9673493,94.94692304,98.85520887,100.1495907,101.159124,103.3134879,102.8843158,104.7721855,106.1187467,108.2198003,112.3563829,116.7863843,119.3126948,120.5879481,121.4199887,121.7606185,118.8860276,118.9596683,118.3276008,118.6426153,117.122004,107.2610124,107.3431039,115.1266118,115.8604912,114.9942893,119.830236,122.9910837,126.9609506,130.3528239,139.2175746,140.5217419,142.6929512,142.6723372,135.6110665,134.0308121,132.3905481,127.3414968,127.6031788,131.2757779,126.7830631,121.940236,121.4047736,122.1066307,116.1016626,115.4351919,115.2095516,115.5523834,117.8445294,120.0019803,129.2716879,128.1097306,125.3865726,120.1508046
Ghana,no data,no data,no data,no data,no data,0.619137881,0.721739433,0.654948695,0.680461323,0.979572257,1.214869581,1.551477319,1.63120883,3.316236115,2.950815407,3.344821285,3.030088423,3.026762349,3.409577345,3.757058197,3.454569482,5.261909622,4.225054942,2.236062831,2.375112638,2.420183438,2.394914,2.09988371,1.473524535,1.179213191,0.917560359,0.80629734,0.807219533,0.681425775,0.973675887,1.289727626,1.48255002,1.303655135,1.306278717,2.416714337,1.972918196,1.466794094,1.948678315,2.168903703,2.326774871,2.250498974,2.695897876,3.584768275,4.021762992,5.402999197,6.016596764,5.102833807,5.209570458,5.37166503,5.621668874,6.665112042,7.734162134,10.46804874,9.213633364,12.95128602,11.76190697,12.02190318,12.57922854,14.48654984,15.58374145,16.99166878,16.42835743,15.04627521,12.7110565,12.97617259,12.07954633,12.01719614,11.2667113,9.119860601
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.57509547,24.88991486,27.64824021,29.30226552,29.32889854,27.81973197,28.52491804,31.23407106,32.34198331,34.01108058,36.79329515,40.44691031,43.42314214,39.26195334,41.45211881,42.90380822,43.34105158,46.36615148,46.79109961,44.70538866,45.0223635,48.55954507,48.37037245,48.58838451,47.60405912,46.5127078,44.29486155,43.62124145,40.78444219,41.80647213,39.22800068,36.62268341,36.41098128,34.70720576,35.29369252,35.94423598,36.48509365,38.41614057,41.70758071,45.10769594,54.05979442,61.15426515,64.96236407,69.09313272,74.24897711,86.40133144,93.34182802,102.1725472,113.8057543,117.2024913,129.6683979,133.1844953,135.2771995,133.4651587,132.7732515,129.4791769,127.5876218,121.0892498,119.7592752,111.0525701,126.3685819,122.9066162,101.5833867,96.82818087
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,95.59622486,92.48603815,87.30887925,74.50675696,53.35859675,41.95377556,30.44082788,29.95154839,27.57837749,25.13369397,24.15790001,24.05239224,23.26561946,21.40304044,20.68127449,24.21666262,30.02250785,32.51149811,33.33030384,37.82177395,36.05737345,35.40693307,37.61747251,49.4496049,47.23182957,47.33198394,49.99333777,55.52417108,56.8696945,59.00194402,62.55811469,63.08048676,61.43223365,58.46473445,61.61799434,57.966498,64.87672874,68.79338036,70.076901,79.37726897,83.97993986,84.87602087,82.80481368,74.25666023,65.20633553,57.32142857,53.72278409,51.06690575,50.64570309,49.54706523,59.32010748,57.22524339,53.29114472,51.4327013
Guatemala,5.03743569,5.537025821,5.595502213,6.068968912,7.346058459,7.640488149,7.970138974,9.651415476,11.17492817,10.49174406,11.14048038,11.60779392,11.3163096,11.73589849,13.09721598,14.15264926,14.60609531,15.61735027,15.04187147,15.13350632,14.0291625,13.98144254,14.30870835,13.15790048,13.98961583,13.84622284,13.55711728,13.94622722,15.80036617,16.70455254,17.93062922,18.42026494,19.48149782,21.24211281,22.59784118,21.10068522,16.40213002,18.25482321,17.99447424,17.18433201,15.66866362,13.28035231,16.11706128,15.53899126,16.88090108,21.77595575,23.09653101,24.27635136,25.70564643,26.82463902,27.78917296,28.80404137,25.42138097,29.2284024,29.61779683,29.88732683,32.7913186,35.97087297,35.78507879,35.28422474,34.24225197,35.79861926,37.78335906,37.9061774,39.51580529,42.13048734,42.01243669,41.50878701,41.89616003,40.28893663,41.81800925,41.29393901,41.85758005,42.1705574
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.654242114,2.925054661,2.510641713,2.583272184,2.989531858,3.14135044,3.560494775,3.527481026,3.224433591,2.527486002,2.683881079,2.882639806,2.830070409,2.707946752,2.706372817,2.46185506,2.886890838,3.764727849,2.799936327,2.766378765,2.627276287,3.926189963,6.795571629,5.619879125,6.694305501,9.131694097,10.77525128,9.564867959,8.809446718,9.252039064,9.866198311,9.758778201,8.798556929,no data,no data
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.266544572,0.21444916,0.209178361,0.408509083,0.601524382,0.312950745,0.368202604,0.490034685,0.737911999,0.721272013,1.138148061,0.383077012,no data,0.636901086,0.844163681,1.224092448,1.911004001,2.963487354,4.859768361,4.112294359,6.057211071,8.16107664,11.72113345,11.4153926,12.90109963,7.33429242,6.577189815,11.2808236,13.38101427,13.80057841,14.7485053,14.29679669,15.35795001,14.04233936
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.609275701,5.425838606,5.067005253,6.215121409,5.867553198,5.016451618,6.500288269,6.698934114,8.447821553,9.570589161,10.6383118,10.94949235,10.9669648,11.99968453,10.24134691,9.628829161,9.071341702,8.880552332,8.782057321,10.79580739,11.71413129,14.1252101,17.96867892,20.71824329,20.94806467,19.68660354,21.82575048,14.78814078,20.19683554,11.72839256,12.31997852,7.982057904,8.722982788,8.647982647,9.214239553,12.13595518,18.55092833,21.43756717,25.11609272,23.36164242,24.01726577,24.97932011,24.79172108,20.90005038,19.50484399,20.08087625,20.8276691,20.19220491,21.11075326,21.83778404,22.89013668,23.52621421,23.13408711,25.81972902,28.44936916,28.98724439,28.18071503,27.1667541,27.86749881,27.74089078,26.91833638,21.00236079,12.66337954,12.56110685
Haiti,no data,no data,no data,no data,no data,0.230094851,0.361172185,0.504777896,0.584694382,0.627520807,0.742491227,0.811783924,0.770070975,0.862771593,0.885921804,1.272286709,1.292396396,1.600199398,1.380582559,1.540949714,1.776735885,1.62434929,2.038838544,3.005492041,4.124849011,4.488884861,4.820284353,5.362562988,6.334555869,6.384937288,5.994645182,6.226441654,6.080096807,5.718292006,5.460355806,4.98214893,4.486816258,8.683757826,17.25387922,22.43829492,21.11455966,20.25645758,23.39910158,18.53732709,7.215165798,7.226999905,7.246246084,8.928397333,7.988016864,8.137524194,8.749630543,8.036659981,9.730476415,9.792864586,7.931676795,8.272906115,7.995419494,7.270853163,8.088128434,7.749323253,7.268342344,8.026720725,10.31472354,10.27611,10.86010049,10.22691753,9.996235587,9.406423457,10.71774888,10.09113722,8.159546999,8.010298922,8.000480832,4.964750785
Honduras,2.977205869,2.519577108,3.161189689,3.468299813,3.972414347,4.38533843,4.665297177,5.258223621,4.85132651,5.087042111,5.319026078,5.439675862,5.478727075,5.752948333,6.179577333,7.117166245,8.369840662,9.77946472,10.24145127,12.35177512,13.14035222,13.34819472,13.58481848,15.14125943,15.41910644,17.59811948,18.26253667,18.8868458,19.02875363,18.82518032,18.26773058,19.29236391,20.39115034,21.55319277,21.55525033,22.58266102,22.70893652,23.95465812,22.63518966,21.42036313,18.75937881,16.94582632,19.22241626,18.66014444,19.17668816,17.68995411,19.83021748,25.74912129,30.27565632,33.92657571,33.4896624,35.62570485,34.94822084,35.47026297,36.44958678,37.52969351,43.36302811,50.88104757,49.87298999,48.8383752,46.4691374,46.71965455,50.75875965,54.22628239,54.58518878,54.1482612,56.71245796,56.73040907,61.29689845,62.95200783,68.97469213,65.49400207,68.37391324,73.83269106
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,99.7551934,100.3212352,109.0112798,126.2863167,143.9524502,146.5316961,130.1325995,128.7735459,131.4776336,132.4864288,137.7939697,156.1190848,166.3178464,150.9864419,142.7209281,145.491231,146.3101533,157.4786015,165.0120902,175.1746253,174.4755266,166.0641271,162.8773362,161.8805549,161.0092959,168.721517,169.7600287,173.7213774,176.0643549,186.9577333,191.8357845,194.2666695,224.5621877,237.1329022,238.5900457,264.1259315,283.7848589,297.4931201,306.4822986,343.3512645,335.3063328,349.4545912,384.0411796,368.8072726,374.0521207,363.3883944
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,41.54430993,39.24309758,43.63488533,43.43746846,44.03969721,49.36981845,50.40410225,54.6687677,57.57904071,62.83781585,65.15438094,66.3006699,66.28928478,67.59874831,69.66750127,70.52027631,71.74247624,74.47629963,75.27038742,70.76653189,66.86658248,65.42017756,56.14198291,48.72768851,46.96951844,49.25082982,44.94382234,48.02330874,49.55634463,49.17895254,53.36496199,60.3377336,62.12210368,61.48681712,71.78061738,77.11165929,87.73378548,93.23510619,108.2750736,117.036079,128.4187122,125.4638505,125.7150573,115.2760781,107.8543774,104.6517623,94.66483445,89.71939587,83.59402962,82.1520461,82.29220563,91.90225081,101.6937259,102.5045144,91.70396273
Iceland,no data,105.6763372,107.8930523,107.8980039,110.7921019,117.6250732,110.9398608,117.1327274,120.3074983,125.4733871,116.263923,110.8886349,104.2891805,100.2690329,77.50649203,81.23198022,79.19146512,89.95576477,95.39921612,84.04756395,77.58832391,74.02501797,71.06762864,67.69960059,73.34180203,72.60752794,67.56636867,66.04513233,67.45421653,68.40031538,83.53121776,82.9359825,104.5617388,109.1333009,115.9880619,114.8582073,101.0393255,101.3929861,110.2239121,118.3972907,114.6748086,121.0889087,134.784056,141.896748,138.3896399,140.188799,146.1868383,152.768757,160.1781219,181.0453442,199.4310567,208.8566667,202.5645679,238.571264,256.613779,320.6485232,424.1072973,554.4869613,617.0252733,677.7087429,507.5423253,455.8094605,384.4868822,331.9073815,326.4108303,282.2520564,251.3442774,216.4243276,196.452707,213.1704835,223.8711975,227.9684058,202.7210394,no data
India,no data,16.8184635,16.75738793,16.2067074,18.65383426,19.91278109,18.87583019,20.48298517,20.38000488,22.42853676,22.7978671,22.46385989,23.03683149,24.8360145,22.28651199,23.6430804,23.46087137,20.87601601,21.62054807,22.67640435,24.08052114,25.69473264,26.48923077,27.21757882,26.31771227,29.96995658,35.84195621,35.81013267,39.720955,42.83230819,41.94927241,43.38563491,46.48188968,46.4740303,49.00031722,48.99912136,50.05141816,50.20794761,52.56935905,53.10665342,52.13648435,48.80830792,51.18213347,48.5679631,47.65570229,49.49774382,48.33647352,49.051369,49.60181685,52.81788599,57.48792695,58.66235466,64.65902809,64.20320641,70.72290692,79.14267386,86.88856845,92.27097002,101.5942385,96.82671553,103.0621549,105.1674307,104.1155299,95.07207447,98.33449979,94.3840379,85.46557066,97.94248931,91.80769611,94.54229568,101.6034814,90.60182859,93.79952133,98.423987
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.90917174,11.20423693,14.41313283,15.07935958,17.26530988,19.69931672,22.76440238,24.26184716,28.87437648,35.92328851,50.10739625,49.78139771,48.19449943,51.84577611,55.00526378,56.69556973,59.89730536,66.90362042,73.30244497,33.46860565,30.44698388,27.55690734,25.72042293,25.75034519,27.42348372,27.72056897,26.07144478,26.38979011,26.97550107,26.79153617,27.67614052,30.70830735,34.96900368,38.75897512,40.34371823,41.85250285,40.73919179,40.46457456,41.4687716,40.9133739,42.8193081,40.47003848,38.44434876,no data
