"Private debt, loans and debt securities (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,286.65818,263.7394633,256.8537022,299.5131423,287.9453925,324.4510193,230.1621706,170.4782163,174.8144235,158.9111579,113.4254949,no data
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.472252,78.40059887,80.27703678,82.00034685,79.00481553,82.20883894,83.89130359,88.79703702,93.34449605,99.1935956,88.08183607,91.25072985,89.7630389,87.77417591,83.91560757,80.89427353,79.92780425,81.98336149,86.00837665,92.03977075,93.18026185,96.40735878,106.2681398,110.2546371,110.927148,106.3708792,110.4457552,117.5572621,123.7451854,136.2727295,146.2028427,152.1663798,149.1866572,155.6623198,158.525032,156.8599877,159.0731691,170.0875097,192.0944897,201.4255079,189.452002,199.6614074,204.1248139,205.0567603,205.4207899,207.1984296,227.8596091,215.7773284,210.8246694,211.9396001,222.5149011,205.9880487,195.0576853,188.7950894
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.340335659,1.50521565,1.844089207,1.860644152,1.829063669,1.570180321,1.378516631,1.414016188,1.41308567,1.728186245,1.877893638,2.067655466,2.229196045,2.493685213,3.04539024,8.771389963,7.687916697,7.756689695,8.343711879,10.00943303,11.58839192,13.72773446,17.15098322,16.48430091,12.97363024,15.05954836,13.9467004,12.92983253,13.84208237,10.4987415,9.884681473,7.949944398,6.033059326,5.433637334,4.368092087,3.838802412,4.381019487,2.798474365,3.572563755,5.044321529,5.481569112,5.072098527,4.791706584,7.630279279,7.677030867,8.931851003,10.22123034,12.19120992,12.61807705,14.96552085,15.69043424,16.41727925,15.50132108,16.31719787,16.60325738,16.61496101,17.37353415,16.4832295,16.68828568,17.54761111,15.48343169,15.32355654,17.05930833,18.57244477
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.563119379,2.950938158,2.509408412,2.645464381,2.598707187,2.975105056,4.238296276,4.100719964,5.170177084,6.447021642,6.599030163,8.524830589,7.559118899,6.565172369,11.06421304,9.38449476,8.160716492,8.587068544,9.737066298,11.43362478,13.04372348,15.79281491,18.2938103,21.55135392,24.44002406,29.98633183,32.56511303,42.43270287,47.57409017,45.85953654,44.54445921,44.04560532,45.22330047,47.46846378,50.17561452,56.08604076,61.91821391,65.62465792,68.79002951,71.49089609,74.90712695
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.413436054,11.09717636,15.32359963,17.98264583,18.130414,16.2116347,12.85563123,11.23673435,10.48555224,14.66228663,11.37177272,10.94640265,11.08818542,7.432776031,7.64089658,6.842002421,5.402705508,6.592043637,9.295676423,11.74707729,14.54833224,14.09348396,13.8581852,11.58999344,10.32394938,9.714750857,12.98545121,13.94372371,14.76480353,16.40006116,19.58354132,20.29942709,21.65813323,20.41626623,21.24053717,23.85627718,26.12799398,27.99844789,25.7166017,27.50809636,34.15187214,34.62647564,34.22946891,38.8745157,35.68615321,37.13217458,37.74447988,38.59049645,41.92613599,35.70626413,31.65726379,no data
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,153.1443641,85.88851171,51.46446419,44.82435482,47.69837694,49.30538304,48.67074067,47.24879555,49.3003262,52.81356378,48.37710738,45.04425999,46.48237525,50.00290523,47.71663622,55.51750384,57.91636401,58.93654588,62.28654171,66.66591897,70.69591807,74.3641625,81.83140929,74.35761446,72.43577878,74.42777066,76.98903971,86.44194955,84.87223126,86.05300408,86.14817165
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.00986851,46.11584329,40.93311976,30.34354421,30.96395091,52.03144382,10.86570623,12.39416209,19.3643429,27.49345064,31.37121334,37.55117012,48.20689695,64.58680172,81.77149488,104.1043242,134.669485,150.4862606,149.673418,144.9953016,136.096159,135.0524936,137.8582141,138.2181766,118.3344422,113.0050697,107.4992311,106.2407206,101.5244776,100.9472587,92.67321937,81.85777857,no data
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.747680904,1.465959988,1.517142256,1.707206619,1.892537184,1.917762202,1.543237201,1.676557404,1.830168556,2.193771119,1.940563979,2.037983297,3.201708899,3.964198986,5.677059489,6.805112807,11.1803485,12.39567477,13.25821657,11.55396085,10.61352892,10.50522995,10.53429138,10.30996057,9.834618026,10.59822416,11.05985099,11.62056277,11.91848904,13.21442207,13.58408244,9.940421296,8.659236406,7.845852669,5.569843205,5.392522867,5.51029017,9.265173313,8.866980825,8.155605998,9.414259078,9.677426406,8.824927811,11.32783393,12.84240159,13.19521554,14.57862234,12.69923278,14.98166306,15.98089286,15.48002076,15.24881265,16.49313456,20.68174812,23.27708789,24.9110362,25.68154105,27.32097749,27.05005834,28.28635201,28.61023185,29.49893661,31.18308846,31.57781698
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.731708962,2.465974438,2.322042158,3.036810698,2.983563806,2.055004844,3.433059229,3.730391914,4.090483269,4.34861462,8.053372785,2.633724159,3.515406172,3.062486655,6.439400775,7.749859365,6.133496656,8.869149628,7.405804487,6.34146258,3.55394899,3.196284308,3.990480976,3.877623653,5.427668747,6.347226503,7.963681938,9.965404453,9.931394371,13.00130616,13.6678674,10.95839409,12.80776572,10.82398295,12.42381029,13.34387143,16.13389693,15.14489059,18.66606505,18.65272799,15.8580682,13.13241365,14.66717307,13.94345539,12.80175853,13.87116978,17.29543267,20.6133354,19.3397726,18.26763803,18.47486941,15.83827224,16.5414579,14.7097757,17.21578507,19.71908937,22.60009315,34.20319993,41.32821224,39.37961795
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.738556331,1.694596725,1.574908273,1.747824217,2.142296273,2.198081151,2.010967913,1.952007695,1.413672237,1.378168849,1.131893963,1.495957399,1.790435279,2.098447344,2.652654098,2.429140943,2.614192493,12.00214424,13.29505031,16.03475645,15.15543497,18.0453652,18.21129848,25.6023453,23.04450872,20.68445106,22.96505638,24.8866179,26.43534563,26.09911325,33.09979473,40.69793325,46.81873861,52.22972992,55.37544576,59.3476536,57.93348517,57.81674759,56.99531675,55.80176874,54.43240217,54.7796358,52.8638887,50.87992438,67.25253084,66.25221235,55.32709227,53.19446337
