"Private debt, all instruments (Percent of GDP)",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Denmark,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,184.0119794,159.9704904,168.3732743,175.4786208,172.6802158,185.5656014,194.932288,201.1076481,202.1501544,207.5458703,215.1511518,231.543024,250.8951237,266.5607661,281.9221858,298.8117581,289.4618886,293.1709594,286.9338034,276.7867217,281.5316357,289.372113,294.1152622,288.4892553,288.0217085,299.7472258,288.2256865,268.2854006,258.0897523,262.2925166
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.18312989,77.58758903,92.43146199,107.2576234,115.6431886,117.4339398,124.8906074,136.1997641,131.6451384,142.1273393,155.9717772,172.2756198,174.4812878,193.4481904,205.3976143,201.7160773,185.1896982,176.8871471,172.7767187,179.6889654,181.3016964,185.3394661,181.8056574,166.7694209,170.835549,177.3488057,166.8715952,159.2636148,155.8462375
Finland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,142.478721,136.0993165,137.3262071,131.4121779,135.908833,146.9513,141.9436703,143.8864188,150.5576282,154.7533403,160.1891101,169.3372131,173.9638296,186.7682867,194.6377968,199.0321398,201.1833751,202.2637216,208.4595842,213.9374803,222.1364276,213.3049319,222.4613495,227.5630107,226.8034278,236.2244963,233.759306,232.1173588,223.7607932
France,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,164.2468047,164.5568392,166.1094436,164.0607197,171.4043241,178.2801284,184.6811684,183.1881166,183.1388887,183.7223219,190.7966185,197.6511643,203.2520141,207.4767839,217.8502356,220.1619178,224.6893884,221.3280071,218.3798256,239.2248714,246.4688412,254.3809332,259.2127787,260.3964654,265.5446268,296.4559009,285.3432994,no data,no data
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,148.2568831,152.8582984,155.8208705,160.0265538,170.4232539,180.7518571,180.6579732,183.2316854,182.7017909,175.7317796,174.5015501,173.2517785,170.3471769,172.1641284,176.8669309,170.5121442,164.592894,164.8062049,164.6647694,158.3360412,157.5162446,156.959554,156.6624939,160.4194536,164.8118182,175.0714571,178.0000326,173.8330994,no data
Greece,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.44678693,50.71694912,52.53005347,55.0444586,58.52523419,67.3169257,75.80494081,80.31756849,83.1171533,87.48650859,99.25521338,105.2267449,114.9721394,126.6640082,130.4716752,142.7052078,147.3739426,151.061845,148.7374503,146.3993827,142.508821,149.2375563,142.6550705,140.7944299,129.9857156,148.7398714,145.2492336,122.5910994,116.279708
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,121.6890161,109.153226,94.62521988,92.81462266,91.16224069,85.9181658,88.10322106,87.96441475,88.54191574,96.55007164,106.7809177,106.7592195,102.9429227,113.8974254,120.7508193,134.2998038,141.5135536,157.9449425,165.7826489,180.2323092,177.8234733,178.2302823,164.1800422,155.5386758,151.8558998,138.631402,135.9258679,130.144683,130.9488551,129.546463,139.7323769,155.8284681,159.2648085,143.2219284
Iceland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,279.1348107,306.805706,382.4226254,493.7858362,644.6266345,719.0872061,751.0256759,569.9003609,510.4556407,430.8523213,377.6122176,378.2016526,325.6987911,288.8229801,254.3458093,236.9578517,251.771422,266.4883793,274.3372819,241.7494213,no data
Ireland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,196.7006427,180.661603,191.4003875,213.4491723,241.6245132,270.049406,277.0000904,334.5729713,360.3808863,370.9346495,378.1597351,383.2973603,364.2875522,380.5403051,407.8295108,413.9191567,367.4492268,381.0866647,373.832374,321.4709861,291.7400642,260.1319035,no data
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,158.7816346,156.0919489,154.322411,149.8919566,148.0432761,149.4777875,151.0522385,145.9605275,147.8648339,145.5951515,150.2082918,152.9945197,no data,no data
Italy,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,122.7847769,119.5883353,119.66001,119.4748422,128.721049,130.3214958,133.1812141,138.1527559,142.9153214,146.5517372,152.1519632,161.7271762,167.250514,170.4785736,178.4461665,182.0095133,183.7066978,182.3641266,180.9982594,177.7717192,172.4859149,166.7914475,167.3875634,161.3785787,161.8606183,177.510461,171.5205578,164.9003157,no data
Japan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,282.4264723,288.4568398,282.3850647,243.4594872,237.5031268,235.1220549,227.2884092,216.0945683,217.1608876,214.0799441,207.4864814,207.5023342,208.1304041,204.3627848,207.5222262,215.4347491,206.9286211,207.6819533,202.07539,199.5868493,201.2280192,196.7994121,196.2712675,198.2875136,203.1304452,205.876476,222.3930453,224.5104409,229.4322772,no data
Jordan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,77.5,78.5,78.4,83,84,88.1,82.6
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,217.8312163,226.8246914,220.4448088,224.2358477,225.7361976,226.9210034,229.0384629,227.4769356,228.1364236,226.7576429,230.9138143,238.1520472,254.1218935,263.427866,270.7116439,263.191246
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.80270547,63.5811516,69.75557697,81.41780685,84.92447587,91.21365267,91.13947745,91.33555591,104.5258724,108.3292801,124.4448235,142.7152864,149.2302859,152.8136794,183.1367694,193.2111777,173.2153223,149.9147901,138.3137126,136.1562268,123.363357,125.1255153,123.4341306,117.7523574,111.8769713,109.244727,103.9433608,97.58979296,95.12975685
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.15152337,48.52551039,49.58663226,52.85273155,60.55822611,63.11640883,62.31462943,66.41034608,72.37880346,80.94777777,97.09188701,111.8510105,131.9779298,132.475608,132.6413618,125.0521443,114.0777138,110.2946623,108.8619613,103.4530466,109.4677449,113.1132718,115.4427031,114.7157641,115.4302197,118.2172582,119.1406438,118.115459,121.5074772
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,151.6336056,145.1355384,187.3500308,223.684684,281.2946815,262.219132,249.6879231,258.8902447,375.1936007,359.1563025,405.746888,383.4496388,397.4243853,410.2969718,417.3530993,436.9865209,446.7211525,435.3945428,431.1796014,442.8288191,457.2099021,472.2205433,487.469735,449.6439392,no data
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,162.175514,171.6208739,172.4013299,176.3153393,179.8294984,168.8301904,177.9739654,185.0852122,195.2752294,204.5604329,215.9872227,212.4409917,241.6375342,259.5904689,286.5006282,284.0525219,299.2918894,301.4332509,284.558516,275.7858859,267.1835561,274.8957595,284.6462503,293.9723364,317.2294473,319.9365677,302.327869,304.8722461,299.2402084
Mauritius,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.9766993,80.78779448,82.79754392,86.55630258,94.4722259,103.2315775,108.9813685,98.08146423,102.5344544,95.10676922,101.1854738,77.77892262,81.77447408,102.460906,88.35417829,77.7322781,no data
Mexico,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.42065448,44.61889286,45.91110275,44.46887238,48.21947065,56.4240861,60.21805121,57.86618641,60.90182767,64.25042615,67.55964898,71.00447488,80.35046242,88.48257605,86.14269876,84.3776895,82.41041604,89.89435845,83.30467935,75.74504296,no data
